trial,seed,operator_a,operator_b,kendall_tau,jaccard_top_k
2,44,geometric@0.10,linear@0.50,0.19643623872906824,0.45985401459854014
2,44,geometric@0.50,linear@0.50,0.8761904761904761,0.9047619047619048
2,44,geometric@0.90,linear@0.50,0.1433407383899291,0.4492753623188406
2,44,min,linear@0.50,0.45081864766904134,0.5748031496062992
2,44,geometric@0.10,linear@0.90,-0.3443474921913318,0.08108108108108109
2,44,geometric@0.50,linear@0.90,-0.16732126072243622,0.19760479041916168
2,44,geometric@0.90,linear@0.90,0.20841544627340322,0.3157894736842105
2,44,min,linear@0.90,-0.16261425123524664,0.12994350282485875
2,44,geometric@0.50,geometric@0.10,0.1657548125633232,0.41843971631205673
2,44,geometric@0.90,geometric@0.10,-0.2320222763661678,0.17647058823529413
2,44,min,geometric@0.10,0.09051333212407037,0.3422818791946309
2,44,geometric@0.90,geometric@0.50,0.11604781550830424,0.4492753623188406
2,44,min,geometric@0.50,0.5290611028315946,0.639344262295082
2,44,min,geometric@0.90,0.061519693272917404,0.3157894736842105
3,45,linear@0.50,linear@0.10,0.09361702127659574,0.41843971631205673
3,45,linear@0.90,linear@0.10,-0.263572267920094,0.08108108108108109
3,45,geometric@0.10,linear@0.10,0.8610903659447349,0.9230769230769231
3,45,geometric@0.50,linear@0.10,0.05923484167415842,0.4084507042253521
3,45,geometric@0.90,linear@0.10,-0.28813559322033905,0.12359550561797752
3,45,min,linear@0.10,-0.0065359477124183,0.2987012987012987
3,45,linear@0.90,linear@0.50,-0.020080321285140566,0.20481927710843373
3,45,geometric@0.10,linear@0.50,0.1514902363823227,0.42857142857142855
3,45,geometric@0.50,linear@0.50,0.8756534727408514,0.9230769230769231
3,45,geometric@0.90,linear@0.50,0.12439673003053282,0.3986013986013986
3,45,min,linear@0.50,0.4569841484893646,0.639344262295082
3,45,geometric@0.10,linear@0.90,-0.3273635446865938,0.08695652173913043
3,45,geometric@0.50,linear@0.90,-0.12070096123612482,0.19760479041916168
3,45,geometric@0.90,linear@0.90,0.22089096889923193,0.3157894736842105
3,45,min,linear@0.90,-0.14827902339515356,0.14285714285714285
3,45,geometric@0.50,geometric@0.10,0.11347517730496454,0.41843971631205673
3,45,geometric@0.90,geometric@0.10,-0.26065742167437084,0.12994350282485875
3,45,min,geometric@0.10,0.03611971104231167,0.30718954248366015
3,45,geometric@0.90,geometric@0.50,0.10819735819735819,0.3888888888888889
3,45,min,geometric@0.50,0.5324929971988794,0.6666666666666666
3,45,min,geometric@0.90,0.05836644591611479,0.32450331125827814
4,46,linear@0.50,linear@0.10,0.044832214765100666,0.3333333333333333
4,46,linear@0.90,linear@0.10,-0.3040639423618147,0.0582010582010582
4,46,geometric@0.10,linear@0.10,0.7808930425752855,0.8518518518518519
4,46,geometric@0.50,linear@0.10,0.023713646532438477,0.3333333333333333
4,46,geometric@0.90,linear@0.10,-0.29359487081825686,0.12359550561797752
4,46,min,linear@0.10,-0.014091234774301409,0.2578616352201258
4,46,linear@0.90,linear@0.50,-0.05627508899492539,0.22699386503067484
4,46,geometric@0.10,linear@0.50,0.12775946458895215,0.4084507042253521
4,46,geometric@0.50,linear@0.50,0.905197030268418,0.941747572815534
4,46,geometric@0.90,linear@0.50,0.12768433301597376,0.4492753623188406
4,46,min,linear@0.50,0.4775910364145658,0.6666666666666666
4,46,geometric@0.10,linear@0.90,-0.3617827950208364,0.08108108108108109
4,46,geometric@0.50,linear@0.90,-0.15237578930834453,0.20481927710843373
4,46,geometric@0.90,linear@0.90,0.23226530447197097,0.35135135135135137
4,46,min,linear@0.90,-0.17688739855543897,0.15606936416184972
4,46,geometric@0.50,geometric@0.10,0.10558385775646788,0.4084507042253521
4,46,geometric@0.90,geometric@0.10,-0.255452356381149,0.1695906432748538
4,46,min,geometric@0.10,0.06560706401766005,0.32450331125827814
4,46,geometric@0.90,geometric@0.50,0.10516717325227963,0.41843971631205673
4,46,min,geometric@0.50,0.541408782788093,0.7094017094017094
4,46,min,geometric@0.90,0.0507446221731936,0.35135135135135137
5,47,linear@0.50,linear@0.10,0.08640495454999499,0.4084507042253521
5,47,linear@0.90,linear@0.10,-0.3037602820211516,0.08108108108108109
5,47,geometric@0.10,linear@0.10,0.7937728937728936,0.9047619047619048
5,47,geometric@0.50,linear@0.10,0.07867132867132867,0.3888888888888889
5,47,geometric@0.90,linear@0.10,-0.26501914375217545,0.17647058823529413
5,47,min,linear@0.10,0.05664429530201342,0.3333333333333333
5,47,linear@0.90,linear@0.50,-0.06282335550628235,0.21212121212121213
5,47,geometric@0.10,linear@0.50,0.17443436555103742,0.43884892086330934
5,47,geometric@0.50,linear@0.50,0.9268110530246453,0.9230769230769231
5,47,geometric@0.90,linear@0.50,0.17233115468409585,0.47058823529411764
5,47,min,linear@0.50,0.5969569942555504,0.7543859649122807
5,47,geometric@0.10,linear@0.90,-0.3491355981528811,0.08108108108108109
5,47,geometric@0.50,linear@0.90,-0.16792589487057683,0.20481927710843373
5,47,geometric@0.90,linear@0.90,0.20876689156134515,0.35135135135135137
5,47,min,linear@0.90,-0.18514126007101142,0.17647058823529413
5,47,geometric@0.50,geometric@0.10,0.16332320162107397,0.41843971631205673
5,47,geometric@0.90,geometric@0.10,-0.22147083685545227,0.1834319526627219
5,47,min,geometric@0.10,0.13726586525020967,0.36054421768707484
5,47,geometric@0.90,geometric@0.50,0.1480375898286346,0.48148148148148145
5,47,min,geometric@0.50,0.644144144144144,0.7857142857142857
5,47,min,geometric@0.90,0.09138804457953394,0.41843971631205673
6,48,linear@0.50,linear@0.10,0.1094257854821235,0.3986013986013986
6,48,linear@0.90,linear@0.10,-0.2797478329393223,0.0582010582010582
6,48,geometric@0.10,linear@0.10,0.8303911388023537,0.8518518518518519
6,48,geometric@0.50,linear@0.10,0.08582375478927202,0.3793103448275862
6,48,geometric@0.90,linear@0.10,-0.2811527962927696,0.12359550561797752
6,48,min,linear@0.10,0.035897435897435895,0.28205128205128205
6,48,linear@0.90,linear@0.50,-0.08799449604403164,0.1695906432748538
6,48,geometric@0.10,linear@0.50,0.1573350015639662,0.43884892086330934
6,48,geometric@0.50,linear@0.50,0.8868558625840179,0.9230769230769231
6,48,geometric@0.90,linear@0.50,0.09425785482123508,0.3986013986013986
6,48,min,linear@0.50,0.46128215380514453,0.6260162601626016
6,48,geometric@0.10,linear@0.90,-0.3332253228398739,0.06382978723404255
6,48,geometric@0.50,linear@0.90,-0.1619248747181962,0.16279069767441862
6,48,geometric@0.90,linear@0.90,0.2858409308504164,0.3888888888888889
6,48,min,linear@0.90,-0.18385288663257554,0.12359550561797752
6,48,geometric@0.50,geometric@0.10,0.13484069886947586,0.42857142857142855
6,48,geometric@0.90,geometric@0.10,-0.27568053415511046,0.12994350282485875
6,48,min,geometric@0.10,0.08527964205816554,0.3333333333333333
6,48,geometric@0.90,geometric@0.50,0.07199842411110016,0.3986013986013986
6,48,min,geometric@0.50,0.537102976783934,0.680672268907563
6,48,min,geometric@0.90,0.010154525386313467,0.32450331125827814
7,49,linear@0.50,linear@0.10,-0.05626034197462769,0.35135135135135137
7,49,linear@0.90,linear@0.10,-0.3454913880445795,0.0582010582010582
7,49,geometric@0.10,linear@0.10,0.7255105572862581,0.8518518518518519
7,49,geometric@0.50,linear@0.10,-0.072751677852349,0.3333333333333333
7,49,geometric@0.90,linear@0.10,-0.35187231430325355,0.10497237569060773
7,49,min,linear@0.10,-0.08773584905660377,0.25
7,49,linear@0.90,linear@0.50,-0.05634514104321478,0.19760479041916168
7,49,geometric@0.10,linear@0.50,0.047619047619047616,0.41843971631205673
7,49,geometric@0.50,linear@0.50,0.8696788648244959,0.9230769230769231
7,49,geometric@0.90,linear@0.50,0.10930562116202172,0.3698630136986301
7,49,min,linear@0.50,0.4246000524521374,0.6129032258064516
7,49,geometric@0.10,linear@0.90,-0.39052859230630516,0.0582010582010582
7,49,geometric@0.50,linear@0.90,-0.14791951256708,0.19047619047619047
7,49,geometric@0.90,linear@0.90,0.23822639170602664,0.36054421768707484
7,49,min,linear@0.90,-0.19452660997544033,0.12359550561797752
7,49,geometric@0.50,geometric@0.10,0.028464493253225646,0.3986013986013986
7,49,geometric@0.90,geometric@0.10,-0.31429288807984435,0.11731843575418995
7,49,min,geometric@0.10,0.006535947712418302,0.30718954248366015
7,49,geometric@0.90,geometric@0.50,0.07203429316932253,0.36054421768707484
7,49,min,geometric@0.50,0.5120448179271708,0.6666666666666666
7,49,min,geometric@0.90,-0.013555446676465783,0.27388535031847133
8,50,linear@0.50,linear@0.10,0.07225592939878654,0.35135135135135137
8,50,linear@0.90,linear@0.10,-0.2807774136047381,0.06951871657754011
8,50,geometric@0.10,linear@0.10,0.7912184799858932,0.8691588785046729
8,50,geometric@0.50,linear@0.10,0.04298929802285506,0.3422818791946309
8,50,geometric@0.90,linear@0.10,-0.27863379558294815,0.12994350282485875
8,50,min,linear@0.10,-0.04254658385093168,0.2422360248447205
8,50,linear@0.90,linear@0.50,-0.062084257206208436,0.21212121212121213
8,50,geometric@0.10,linear@0.50,0.14521072796934867,0.3793103448275862
8,50,geometric@0.50,linear@0.50,0.8386855862584018,0.9230769230769231
8,50,geometric@0.90,linear@0.50,0.1127759464588952,0.4084507042253521
8,50,min,linear@0.50,0.4163809523809524,0.5873015873015873
8,50,geometric@0.10,linear@0.90,-0.333301349661903,0.07526881720430108
8,50,geometric@0.50,linear@0.90,-0.1619109804678721,0.19047619047619047
8,50,geometric@0.90,linear@0.90,0.23298157297723843,0.3422818791946309
8,50,min,linear@0.90,-0.17362215192364294,0.12359550561797752
8,50,geometric@0.50,geometric@0.10,0.11497401983939536,0.3698630136986301
8,50,geometric@0.90,geometric@0.10,-0.24321839080459767,0.14285714285714285
8,50,min,geometric@0.10,0.021394741139964066,0.27388535031847133
8,50,geometric@0.90,geometric@0.50,0.08916083916083915,0.3888888888888889
8,50,min,geometric@0.50,0.5188591230174596,0.6260162601626016
8,50,min,geometric@0.90,0.03560955173858399,0.2903225806451613
9,51,linear@0.50,linear@0.10,0.056076484647913226,0.35135135135135137
9,51,linear@0.90,linear@0.10,-0.2718395815170008,0.07526881720430108
9,51,geometric@0.10,linear@0.10,0.8042813455657494,0.8348623853211009
9,51,geometric@0.50,linear@0.10,0.017776228651097944,0.3157894736842105
9,51,geometric@0.90,linear@0.10,-0.26769504221418144,0.12359550561797752
9,51,min,linear@0.10,-0.017753363585701776,0.2578616352201258
9,51,linear@0.90,linear@0.50,-0.03672873311427528,0.20481927710843373
9,51,geometric@0.10,linear@0.50,0.11793313069908813,0.41843971631205673
9,51,geometric@0.50,linear@0.50,0.8893081761006291,0.8867924528301887
9,51,geometric@0.90,linear@0.50,0.1570415400202634,0.41843971631205673
9,51,min,linear@0.50,0.49356455764801516,0.639344262295082
9,51,geometric@0.10,linear@0.90,-0.3320429857308416,0.07526881720430108
9,51,geometric@0.50,linear@0.90,-0.09255443750072984,0.20481927710843373
9,51,geometric@0.90,linear@0.90,0.28240144450646903,0.3986013986013986
9,51,min,linear@0.90,-0.11336504200120381,0.16279069767441862
9,51,geometric@0.50,geometric@0.10,0.08080808080808081,0.3888888888888889
9,51,geometric@0.90,geometric@0.10,-0.25517241379310346,0.14285714285714285
9,51,min,geometric@0.10,0.043532008830022076,0.32450331125827814
9,51,geometric@0.90,geometric@0.50,0.13286713286713286,0.3986013986013986
9,51,min,geometric@0.50,0.5664167916041979,0.7241379310344828
9,51,min,geometric@0.90,0.06971070059254096,0.3157894736842105
10,52,linear@0.50,linear@0.10,0.12341179946813748,0.3986013986013986
10,52,linear@0.90,linear@0.10,-0.26462984723854294,0.08108108108108109
10,52,geometric@0.10,linear@0.10,0.824852890273451,0.8518518518518519
10,52,geometric@0.50,linear@0.10,0.1184926184926185,0.3888888888888889
10,52,geometric@0.90,linear@0.10,-0.2534715301308883,0.14942528735632185
10,52,min,linear@0.10,0.053763440860215055,0.28205128205128205
10,52,linear@0.90,linear@0.50,-0.04102446131431639,0.2345679012345679
10,52,geometric@0.10,linear@0.50,0.18692478578229135,0.4492753623188406
10,52,geometric@0.50,linear@0.50,0.8415094339622643,0.8867924528301887
10,52,geometric@0.90,linear@0.50,0.15822241305281234,0.45985401459854014
10,52,min,linear@0.50,0.4537865235539653,0.5384615384615384
10,52,geometric@0.10,linear@0.90,-0.3242191827200506,0.0989010989010989
10,52,geometric@0.50,linear@0.90,-0.15627625945536383,0.20481927710843373
10,52,geometric@0.90,linear@0.90,0.2455595802853639,0.35135135135135137
10,52,min,linear@0.90,-0.15724258685413428,0.13636363636363635
10,52,geometric@0.50,geometric@0.10,0.18089875925346677,0.43884892086330934
10,52,geometric@0.90,geometric@0.10,-0.22457030149337845,0.1834319526627219
10,52,min,geometric@0.10,0.10905077262693155,0.32450331125827814
10,52,geometric@0.90,geometric@0.50,0.10113052415210688,0.42857142857142855
10,52,min,geometric@0.50,0.5532903225806451,0.6
10,52,min,geometric@0.90,0.05022359821121432,0.30718954248366015
11,53,linear@0.50,linear@0.10,0.029929258117177577,0.3422818791946309
11,53,linear@0.90,linear@0.10,-0.27682089384217046,0.0582010582010582
11,53,geometric@0.10,linear@0.10,0.782969885773624,0.8518518518518519
11,53,geometric@0.50,linear@0.10,0.008706693270451659,0.3422818791946309
11,53,geometric@0.90,linear@0.10,-0.2775979178569162,0.12359550561797752
11,53,min,linear@0.10,-0.005955334987593053,0.28205128205128205
11,53,linear@0.90,linear@0.50,0.00835825473506633,0.2345679012345679
11,53,geometric@0.10,linear@0.50,0.09808429118773945,0.3793103448275862
11,53,geometric@0.50,linear@0.50,0.8600732600732599,0.9047619047619048
11,53,geometric@0.90,linear@0.50,0.1658787255909558,0.42857142857142855
11,53,min,linear@0.50,0.41410962496721737,0.6129032258064516
11,53,geometric@0.10,linear@0.90,-0.3242130784316008,0.06382978723404255
11,53,geometric@0.50,linear@0.90,-0.0967786767415885,0.20481927710843373
11,53,geometric@0.90,linear@0.90,0.27456340219545233,0.36054421768707484
11,53,min,linear@0.90,-0.14852434367672787,0.12359550561797752
11,53,geometric@0.50,geometric@0.10,0.0775058275058275,0.3888888888888889
11,53,geometric@0.90,geometric@0.10,-0.2529532614278377,0.12994350282485875
11,53,min,geometric@0.10,0.06030905077262693,0.32450331125827814
11,53,geometric@0.90,geometric@0.50,0.130503299517384,0.3986013986013986
11,53,min,geometric@0.50,0.4947658402203856,0.6528925619834711
11,53,min,geometric@0.90,0.02760084925690021,0.27388535031847133
12,54,linear@0.50,linear@0.10,0.00698909700866648,0.36054421768707484
12,54,linear@0.90,linear@0.10,-0.32263993316624895,0.05263157894736842
12,54,geometric@0.10,linear@0.10,0.8001796945193173,0.8867924528301887
12,54,geometric@0.50,linear@0.10,0.0020224305938591654,0.35135135135135137
12,54,geometric@0.90,linear@0.10,-0.3209465821354592,0.11731843575418995
12,54,min,linear@0.10,-0.03705541770057899,0.28205128205128205
12,54,linear@0.90,linear@0.50,-0.09014966933518971,0.17647058823529413
12,54,geometric@0.10,linear@0.50,0.08240934971531313,0.4084507042253521
12,54,geometric@0.50,linear@0.50,0.8521284540702018,0.9230769230769231
12,54,geometric@0.90,linear@0.50,0.10689655172413794,0.3793103448275862
12,54,min,linear@0.50,0.40444444444444444,0.5873015873015873
12,54,geometric@0.10,linear@0.90,-0.3876138836222073,0.05263157894736842
12,54,geometric@0.50,linear@0.90,-0.2115739372435944,0.16279069767441862
12,54,geometric@0.90,linear@0.90,0.14437270954487608,0.2987012987012987
12,54,min,linear@0.90,-0.23174286654040355,0.08695652173913043
12,54,geometric@0.50,geometric@0.10,0.07574116024820249,0.3986013986013986
12,54,geometric@0.90,geometric@0.10,-0.29943502824858764,0.12359550561797752
12,54,min,geometric@0.10,0.031169977924944813,0.32450331125827814
12,54,geometric@0.90,geometric@0.50,0.06264367816091954,0.3793103448275862
12,54,min,geometric@0.50,0.493535918965747,0.6260162601626016
12,54,min,geometric@0.90,-0.023427672955974845,0.25
13,55,linear@0.50,linear@0.10,0.062035189551968066,0.3422818791946309
13,55,linear@0.90,linear@0.10,-0.35146804835924006,0.03626943005181347
13,55,geometric@0.10,linear@0.10,0.8217376254759431,0.8518518518518519
13,55,geometric@0.50,linear@0.10,0.030836205332849625,0.3422818791946309
13,55,geometric@0.90,linear@0.10,-0.3421856639247944,0.08108108108108109
13,55,min,linear@0.10,-0.043457228089978234,0.26582278481012656
13,55,linear@0.90,linear@0.50,-0.11974551238354919,0.22699386503067484
13,55,geometric@0.10,linear@0.50,0.11499611499611498,0.3888888888888889
13,55,geometric@0.50,linear@0.50,0.8686464877213023,0.941747572815534
13,55,geometric@0.90,linear@0.50,0.054440115872540204,0.4084507042253521
13,55,min,linear@0.50,0.41961709939680036,0.6129032258064516
13,55,geometric@0.10,linear@0.90,-0.4094382200896204,0.04712041884816754
13,55,geometric@0.50,linear@0.90,-0.19910441652322344,0.21212121212121213
13,55,geometric@0.90,linear@0.90,0.2525580581095246,0.3888888888888889
13,55,min,linear@0.90,-0.21886952536821885,0.14942528735632185
13,55,geometric@0.50,geometric@0.10,0.08657539643455135,0.3986013986013986
13,55,geometric@0.90,geometric@0.10,-0.3265807243707796,0.10497237569060773
13,55,min,geometric@0.10,0.004182642035552458,0.3157894736842105
13,55,geometric@0.90,geometric@0.50,0.031857031857031856,0.3888888888888889
13,55,min,geometric@0.50,0.5063360881542699,0.6528925619834711
13,55,min,geometric@0.90,-0.027077497665732957,0.2987012987012987
14,56,linear@0.50,linear@0.10,0.023713646532438477,0.3333333333333333
14,56,linear@0.90,linear@0.10,-0.30787561755303683,0.07526881720430108
14,56,geometric@0.10,linear@0.10,0.822429906542056,0.8518518518518519
14,56,geometric@0.50,linear@0.10,-0.0067057125880655285,0.2987012987012987
14,56,geometric@0.90,linear@0.10,-0.31441842947712006,0.11731843575418995
14,56,min,linear@0.10,-0.023387777010965418,0.2345679012345679
14,56,linear@0.90,linear@0.50,-0.08283433133732536,0.19047619047619047
14,56,geometric@0.10,linear@0.50,0.0764367816091954,0.3793103448275862
14,56,geometric@0.50,linear@0.50,0.8817610062893082,0.8867924528301887
14,56,geometric@0.90,linear@0.50,0.12772390783025753,0.43884892086330934
14,56,min,linear@0.50,0.4575483870967741,0.6
14,56,geometric@0.10,linear@0.90,-0.3743888807773272,0.08108108108108109
14,56,geometric@0.50,linear@0.90,-0.1733620605521651,0.17647058823529413
14,56,geometric@0.90,linear@0.90,0.2183997424262824,0.3698630136986301
14,56,min,linear@0.90,-0.19850228725943145,0.12994350282485875
14,56,geometric@0.50,geometric@0.10,0.04044984581897333,0.3422818791946309
14,56,geometric@0.90,geometric@0.10,-0.2960262725779967,0.14285714285714285
14,56,min,geometric@0.10,0.022701290217213784,0.27388535031847133
14,56,geometric@0.90,geometric@0.50,0.09341438703140831,0.41843971631205673
14,56,min,geometric@0.50,0.5296966244124769,0.680672268907563
14,56,min,geometric@0.90,0.011502265597769259,0.3157894736842105
15,57,linear@0.50,linear@0.10,0.047067475638904205,0.35135135135135137
15,57,linear@0.90,linear@0.10,-0.3081166272655634,0.0582010582010582
15,57,geometric@0.10,linear@0.10,0.7794871794871794,0.9047619047619048
15,57,geometric@0.50,linear@0.10,0.03373601789709172,0.3333333333333333
15,57,geometric@0.90,linear@0.10,-0.32977845489747987,0.12359550561797752
15,57,min,linear@0.10,0.0184194890077243,0.2987012987012987
15,57,linear@0.90,linear@0.50,-0.06803260947983551,0.19760479041916168
15,57,geometric@0.10,linear@0.50,0.13237547892720306,0.3793103448275862
15,57,geometric@0.50,linear@0.50,0.8832657379650856,0.8691588785046729
15,57,geometric@0.90,linear@0.50,0.07983789260385005,0.41843971631205673
15,57,min,linear@0.50,0.5134453781512605,0.6666666666666666
15,57,geometric@0.10,linear@0.90,-0.3239735362418609,0.06951871657754011
15,57,geometric@0.50,linear@0.90,-0.1665573158674814,0.16279069767441862
15,57,geometric@0.90,linear@0.90,0.3114659449287888,0.3888888888888889
15,57,min,linear@0.90,-0.1826328845866682,0.12994350282485875
15,57,geometric@0.50,geometric@0.10,0.12309872461029758,0.3698630136986301
15,57,geometric@0.90,geometric@0.10,-0.2819480519480519,0.13636363636363635
15,57,min,geometric@0.10,0.10747203579418343,0.3333333333333333
15,57,geometric@0.90,geometric@0.50,0.026628352490421454,0.3793103448275862
15,57,min,geometric@0.50,0.5857786058065518,0.7543859649122807
15,57,min,geometric@0.90,-0.04063678257226644,0.2903225806451613
16,58,linear@0.50,linear@0.10,0.06010623427453173,0.36054421768707484
16,58,linear@0.90,linear@0.10,-0.2807080066524116,0.08695652173913043
16,58,geometric@0.10,linear@0.10,0.7703504043126687,0.8867924528301887
16,58,geometric@0.50,linear@0.10,0.045528750226736796,0.3422818791946309
16,58,geometric@0.90,linear@0.10,-0.27409598064255947,0.15606936416184972
16,58,min,linear@0.10,0.007113316790736146,0.28205128205128205
16,58,linear@0.90,linear@0.50,-0.0012093848262517135,0.26582278481012656
16,58,geometric@0.10,linear@0.50,0.15138382744016546,0.3986013986013986
16,58,geometric@0.50,linear@0.50,0.893577296489918,0.9230769230769231
16,58,geometric@0.90,linear@0.50,0.1666113875069099,0.48148148148148145
16,58,min,linear@0.50,0.5177928828468612,0.6260162601626016
16,58,geometric@0.10,linear@0.90,-0.29590559746625117,0.08695652173913043
16,58,geometric@0.50,linear@0.90,-0.08368478089818242,0.25
16,58,geometric@0.90,linear@0.90,0.358080758435151,0.41843971631205673
16,58,min,linear@0.90,-0.10665069514168911,0.17647058823529413
16,58,geometric@0.50,geometric@0.10,0.14083139083139085,0.3888888888888889
16,58,geometric@0.90,geometric@0.10,-0.23551552628041403,0.15606936416184972
16,58,min,geometric@0.10,0.09792494481236202,0.32450331125827814
16,58,geometric@0.90,geometric@0.50,0.12601975096607984,0.45985401459854014
16,58,min,geometric@0.50,0.5909414613302949,0.680672268907563
16,58,min,geometric@0.90,0.062216578995102474,0.3422818791946309
17,59,linear@0.50,linear@0.10,0.11813158169116879,0.43884892086330934
17,59,linear@0.90,linear@0.10,-0.31993695823483054,0.0582010582010582
17,59,geometric@0.10,linear@0.10,0.8111555301732344,0.941747572815534
17,59,geometric@0.50,linear@0.10,0.08024316109422491,0.41843971631205673
17,59,geometric@0.90,linear@0.10,-0.3233885819521179,0.10497237569060773
17,59,min,linear@0.10,-0.012097130242825606,0.32450331125827814
17,59,linear@0.90,linear@0.50,-0.12353810996101627,0.15606936416184972
17,59,geometric@0.10,linear@0.50,0.20781451266638037,0.45985401459854014
17,59,geometric@0.50,linear@0.50,0.8831985624438455,0.8867924528301887
17,59,geometric@0.90,linear@0.50,0.030672708260718023,0.3157894736842105
17,59,min,linear@0.50,0.5041322314049586,0.6528925619834711
17,59,geometric@0.10,linear@0.90,-0.3623145871635273,0.0582010582010582
17,59,geometric@0.50,linear@0.90,-0.22547048604762182,0.12994350282485875
17,59,geometric@0.90,linear@0.90,0.17601215717509341,0.3333333333333333
17,59,min,linear@0.90,-0.19562472866743474,0.0989010989010989
17,59,geometric@0.50,geometric@0.10,0.16880408716505058,0.43884892086330934
17,59,geometric@0.90,geometric@0.10,-0.2823818293431553,0.10497237569060773
17,59,min,geometric@0.10,0.06511881008525304,0.3422818791946309
17,59,geometric@0.90,geometric@0.50,0.0026313555725320428,0.2987012987012987
17,59,min,geometric@0.50,0.5776598880047156,0.7094017094017094
17,59,min,geometric@0.90,0.005124223602484472,0.2422360248447205
18,60,linear@0.50,linear@0.10,0.04298535663675012,0.3698630136986301
18,60,linear@0.90,linear@0.10,-0.26944094157208914,0.09289617486338798
18,60,geometric@0.10,linear@0.10,0.8509157509157508,0.9047619047619048
18,60,geometric@0.50,linear@0.10,0.007799746054779611,0.3422818791946309
18,60,geometric@0.90,linear@0.10,-0.2588454376163873,0.1111111111111111
18,60,min,linear@0.10,-0.03367566276570337,0.2578616352201258
18,60,linear@0.90,linear@0.50,0.005745341614906831,0.2422360248447205
18,60,geometric@0.10,linear@0.50,0.09110607702156998,0.3986013986013986
18,60,geometric@0.50,linear@0.50,0.8853479853479853,0.9047619047619048
18,60,geometric@0.90,linear@0.50,0.19984241111001672,0.3986013986013986
18,60,min,linear@0.50,0.4670862837660634,0.6129032258064516
18,60,geometric@0.10,linear@0.90,-0.3311988978622337,0.09289617486338798
